,Steph Tweets,Sentiment Score
0,@ThankYouTaceGod @LukasMassey2d @CurrySandwiches @CurrySlides @StephenCurry30 he had a terrible shooting game*,-0.4767
1,@imspenser_6 @LukasMassey2d @CurrySandwiches @CurrySlides @StephenCurry30 His team won in spite of his poor play,-0.1027
2,@imspenser_6 @LukasMassey2d @CurrySandwiches @CurrySlides @StephenCurry30 He had a terrible game,-0.4767
3,Steph Duraznito Curry 🤙 https://t.co/TxShtvi36M,0.4939
4,"@Magical_Answer @BillsGal419 @KevPKing @SneakyJoeSports So to anoint him as one of the best in the league, Steph Curry of NFL, etc is extremely premature. He's had flashes. Nick Foles had flashes. Right now he's got a career trajectory now more on par with Bradford, Wentz, and Garoppolo. 

But I hope things change and he can develop.",0.7543
5,Tarihin en iyi şütörü @StephenCurry30 https://t.co/E5jCivkILk,0.0
6,Steph Curry gotta be watching Fudd shoot this ball!!,-0.4559
7,"Lionel Messi

Rafael Nadal

Virat Kohli 

Steph Curry

Max Verstappen https://t.co/c6bqGWQrWX",0.0
8,@LukasMassey2d @CurrySandwiches @CurrySlides @StephenCurry30 went 0-9 from 3 and you still saw he was tightly guarded and still the main focus… not like he had 8 assists + 2 assists to contribute,-0.2755
9,@imspenser_6 @CurrySandwiches @CurrySlides @StephenCurry30 His team did such an incredible job not letting the 9 curry bricks get to them and still pulling out the W. Best supporting cast and coach ever,0.7964
10,@WilliamPennU William Penn Lacrosse team pulls more 3’s than Steph Curry,0.0
11,(SUN.NOV.13) NBA:GS-SAC PICK:The Warriors visit the Kings in Sacramento! The Warriors w/G Steph Curry &amp; G/F Andrew Wiggins win this one:WARRIORS 120-111,0.6239
12,@CurrySandwiches @LukasMassey2d @CurrySlides @StephenCurry30 -didnt watch game 5 of the 2022 finals,0.0
13,@rippedby40 @axleblazeSA @BadMedicalTakes Didn't he compete with Steph Curry? https://t.co/d94eMiFzxn,0.0
14,@CurrySandwiches @CurrySlides @StephenCurry30 Damn bro YKB,-0.4019
15,"Ansatzlos wie n Steph Curry 3er wieder einen Podcast rausgehauen. Genießt es, wer weiß wann der nächste kommt...
https://t.co/SGov1EeTQw",0.0
16,the bulls signed steph curry,0.0
